GeneID	Em10	Em12	Em14	Em16	Em18	Em20	Em22	Em24	Em26	Em28	Em30	Em32	Em34	Em36	Em38	En6	En8	En10	En12	En14	En16	En18	En20	En22	En24	En26	En28	En30	En32	En34	En36	En38	S0	S2	S3	S4	S6	S8	S10	S12	S14	S16	S18	S20	S22	S24	S26	S28	S30	S32	S34	S36	S38	Shoots	Roots	Leaf_1	Leaf_2	Leaf_3	Leaf_4	Leaf_5	Leaf_6	Leaf_7	SAM_1	SAM_2	SAM_3	Ear_1	Ear_2	Tassel_1	Tassel_2	Tassel_3	Tassel_4	Tassel_5	Cob_1	Cob_2	Silk	Anthers	Ovule	Pollen
GRMZM2G048910	18.69	51.55	7.94	35.3	25.36	21.04	32.36	26.59	40.24	30.56	9.86	6.55	24.48	8.65	13.93	10.46	10.14	3.8	3.03	1.83	2.95	5.25	2.41	6.04	3.27	7.17	4.55	6.51	7.22	11.21	12.64	16.35	0.1	0.27	0.56	0.64	2.08	7.39	12.17	10.89	9.24	7.52	9.36	12.75	9.14	7.65	8.36	4.21	17.17	3.38	19.55	5.7	12.91	0.18	0.38	0.07	0	0.96	3.01	0.5	0.03	0.03	0.06	0.03	0	0.03	0.05	0.06	0.03	0.08	0.07	0.32	0	0	0.49	0.02	0.13	0
GRMZM2G027914	2.61	6.98	3.36	6.16	6.85	4.84	6.14	6.82	5.04	9.47	2.86	2.66	2.52	2.02	2.32	0.55	0.31	0.02	0.18	0.02	0.23	0.41	0.23	0.5	0.36	0.56	0.52	0.53	0.67	1.31	1.64	1.59	0.06	1.22	0.69	1.18	0.79	0.61	0.22	0.62	0.5	0.63	1.03	0.62	0.13	0.98	1.35	0.97	2.82	1.5	2.22	1.61	1.48	0.07	0.25	0.05	0.05	0	0	0.05	0	0.03	0	0	0.3	0.04	0.03	0.07	0.07	0.07	0.28	0.22	0.04	0.04	0.13	0.09	0.11	0
GRMZM2G158788	21.98	40.15	20.27	30.36	35.84	10.76	29.34	22.13	39.73	47.16	15.51	16.09	20.5	10.68	22.33	13.45	3.33	2.13	1.65	0.68	1.08	1.06	0.96	1.87	1.54	1.67	2.8	2.71	4.21	2.88	8.51	13.23	0.24	0.18	0.37	0.45	2.1	3.92	4.31	10.07	6	4.82	5.1	6.46	4.06	5.18	5.78	5.94	12.08	6.23	7.89	5.6	6.39	0	0	0	0	0	0	0	0	0	0.07	0	0	0.04	0.1	0	0	0	0.04	0	0	0.09	0.64	0.03	0.51	0.03
GRMZM2G176390	118.5	87.6	48.24	57.36	56.7	59.92	128.9	155.77	135	83.63	28.58	18.45	23.91	9.11	8.66	0.14	0.71	0.06	0.04	0.03	0.53	0	0.32	2.46	3.09	2.43	5.49	0.67	2.38	5.11	4.15	3.47	0	0.08	0.13	0	0.16	0.22	2.46	2.71	2.39	4.17	4.38	10.73	15.55	17.17	15.2	11.06	9.39	2.68	13.2	6.76	15.79	0	0.03	0	0	0	0	0	0	0	0.09	0	0	0.22	0.55	0.14	0.14	0.14	0	0	0.3	0.31	0.41	0	0.07	0
GRMZM2G344936	4.96	5.36	0.37	4.82	8.57	1.5	5.65	4.1	10.85	6.25	1	0.34	3.53	2.04	3.94	2.01	1.29	1.06	1.09	1.89	0.85	2.52	1.11	1.04	1.01	2.41	0.2	1.09	0.95	2.65	1.97	4.43	6.97	4.39	11.37	5.42	0.89	2.64	2.83	1.93	1.5	1.11	1.42	3.13	2.51	1.52	1.9	0.16	2.93	0.34	1.7	0.1	2.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0
GRMZM2G361593	33.64	39.1	36.43	49.23	39.39	33.59	32.39	34.98	31.16	44.27	30.37	30.28	38.78	26.64	40.23	6.46	2.04	3.2	2.56	1.12	1.67	1.44	1.84	2.32	1.8	1.79	3.24	2.41	4.29	7.36	9.09	15.32	5.37	7.38	7.21	6.07	5.37	4	5.42	5.86	4.62	6.99	6.48	7.28	6.71	5.49	6.54	9.71	30.08	30.66	27.09	20.82	31.83	3.11	3.69	3.2	2.6	4.18	4.83	3.23	2.93	2.6	3.24	2.74	0.68	3.7	3.72	3.15	2.6	2.61	3.45	3.35	4.46	4.39	3.25	1.38	6.63	0.19
GRMZM2G139082	13.18	10.36	10.7	9.24	7.14	6.15	7.68	5.16	6.69	8.13	6.27	5.78	6.12	5.65	7.5	0.55	0.13	0	0.02	0	0.01	0	0.11	0	0.08	0.1	0.41	0.05	0.07	0.15	0.28	0.02	0	0.04	0	0.1	0.49	0.26	0.23	0.18	0.25	0.48	0.77	0.69	1.93	0.84	0.9	1.41	4.36	3.64	3.93	4.07	6.17	0.16	0.62	0	0	0	0	0	0	0	0.04	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02
GRMZM2G141638	7.41	4.32	2.12	2.98	2.87	3	3.02	3.05	1.41	0.53	1.39	1.21	0.73	1.19	1.08	0.34	0.06	0	0.01	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.08	0	0.09	0	0	0.06	0.31	0.19	0.43	0.2	0.42	0.47	0.29	1.06	0.83	1.13	1.34	0.72	0.05	0.59	0	0	0	0	0	0	0	0	0	0.22	0.02	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G011789	41.72	19.52	2.16	2.55	0.19	0	0	0	0	0.14	0	0.14	0.2	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.06	0	0.9	0.11	0.27	0.24	0.28	0.11	0.03	0	0	0	0	0	0	0.09	0.34	0.19	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G170958	5.77	3.44	2.77	2.88	0.75	0.34	0.26	0.05	0.09	0.35	0	0.07	0.19	0	0.8	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.56	0	0	0	0	0	0	0	0.12	0.01	0.07	0.03	0	0	0.06	0	0.13	0.08	0.28	0	0.08	0.27	0	0.05	0.1	0.06	0	0	0	0	0	0	0	0.24	0	0.03	0	0.04	0.03	0.04	0.05	0	0	0	0	0.06	0
